ID,SMILES,act_mean,Type
CHEMBL1230165,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,6.8,1
CHEMBL4172756,COc1ccc2c(c1)[nH]c1c(N3CCCC3c3ccccc3)nccc12,123,1
CHEMBL3589663,COc1cccc2c1[nH]c1c3ccccc3nc(C(=O)O)c21,32,1
CHEMBL4086182,Cc1noc(C)c1-c1ccc2ncc3nnn([C@@H](C)c4ccc(F)cc4)c3c2c1,100000000,0
CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,2940,0
CHEMBL571292,COc1ccc(/C=C2\CC(=O)NC2=O)cc1,100000000,0
CHEMBL2314442,CC[C@H](CO)Nc1cncc(Nc2nc3cncnc3n2C(C)C)n1,400,1
CHEMBL3421979,Cc1nccc(-c2c[nH]c3cnccc23)n1,19,1
CHEMBL3094456,COc1ncc2cc(C(=O)Nc3cc(C(=O)NC(CCCN)c4ccccc4)ccc3Cl)c(=O)[nH]c2n1,15,1
CHEMBL380093,COc1cc(/C=C2\C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)ccc1O,2500,0
CHEMBL3775949,COc1ccc(/C=C2/SC(=S)NC2=O)cc1,250,1
CHEMBL4564623,COc1ccc2c3ccnc(C)c3n(CCC(N)=O)c2c1,139,1
CHEMBL109269,CCn1c2cc(OC)ccc2c2ccnc(C)c21,400,1
CHEMBL2180865,O=C(Nc1ccncn1)Nc1cccc2c1C1CCCCN1C2=O,100000000,0
CHEMBL3786657,COC(=O)c1cccnc1NC(=O)Nc1cccc2c1C1CCCCN1C2=O,100000000,0
CHEMBL3094441,COC(=O)c1ccc(C)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,116,1
CHEMBL2180858,COc1cccnc1NC(=O)Nc1cccc2c1C1CCCCN1C2=O,8100,0
CHEMBL4483653,COc1ccc2c3ccnc(C)c3n(CCCCCC(N)=O)c2c1,168,1
CHEMBL4079572,Nc1nccc(-c2c[nH]c3cnccc23)n1,1,1
CHEMBL4072795,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5c(c4)OCO5)cc3c21,257,1
CHEMBL1476609,Cc1ccsc1CN(C)c1ncnc2ccc(-c3ccc(CO)o3)cc12,557,1
CHEMBL3092864,NCCOCCOCCOc1ccc(NC2=N/C(=C\c3ccccc3)C(=O)N2)cc1,8500,0
CHEMBL4090223,CSc1ccc2ncc(-c3ccc4[nH]ccc4c3)n2n1,580,1
CHEMBL469776,O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C/c1ccc(Cl)cc1,20000,0
CHEMBL1357975,c1coc(CCNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)c1,74,1
CHEMBL3609566,CO[C@@H]1CCN2C(=O)c3cccc(NC(=O)Nc4ccccn4)c3[C@@H]2C1,100000000,0
CHEMBL2164709,Cc1nccc2c3ccc(OCc4ccccc4)cc3n(Cc3ccccc3)c12,16150,0
CHEMBL2314450,CC(C)n1cnc2c(Nc3cncnc3)nc(Nc3cncnc3)nc21,480,1
CHEMBL4062820,CC[C@@H](CO)Nc1ccc2ncc(-c3cc4ccccc4[nH]3)n2n1,340,1
CHEMBL4475097,COc1cc(Br)cc2[nH]cc(-c3cnc(-c4ccc(Br)[nH]4)o3)c12,100000000,0
CHEMBL1645546,COCCOc1ccc2c(c1)[nH]c1c(C)nccc12,15750,0
CHEMBL1234833,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12,2100,0
CHEMBL4074986,Cc1cc(-c2ccc3ncc4nnn([C@@H](C)c5ccc(F)cc5)c4c3c2)ccc1F,100000000,0
CHEMBL485053,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N,775,1
