Molecule ChEMBL ID,Smiles,Molecular Weight,act_mean
CHEMBL2386748,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4F)c3c2s1,371.37,0.94
CHEMBL2386749,COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)c([N+](=O)[O-])c4)c3c2s1,396.39,4.91
CHEMBL2386750,COC(=N)c1nc2ccc3ncnc(Nc4cccc(C#N)c4)c3c2s1,360.4,42.7
CHEMBL2386751,COC(=N)c1nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2s1,369.84,13.64
CHEMBL2386752,COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)c(F)c4)c3c2s1,369.38,8.63
CHEMBL2386753,COC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,379.4,1.65
CHEMBL2386754,CCOC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,393.43,6.02
CHEMBL2386755,N=C(OCc1ccccc1)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,455.5,33.93
CHEMBL2386756,CN(C)CCNC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,435.51,431.2
CHEMBL2386757,NC(=O)c1nc2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2s1,418.25,194.4
CHEMBL2386758,COC(=N)c1nc2ccc3ncnc(Nc4cc(OC)c(OC)c(OC)c4)c3c2s1,425.47,436.1
CHEMBL2386759,NC(=O)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,418.25,26.2
CHEMBL2386760,COC(=O)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,405.27,5.1
CHEMBL2386761,COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)cc4)c3c2s1,365.42,13.08
CHEMBL2386762,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4)c3c2s1,369.84,1.13
CHEMBL2386763,COC(=N)c1nc2ccc3ncnc(Nc4ccccc4)c3c2s1,335.39,1.81
CHEMBL2386764,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C)cc4)c3c2s1,349.42,0.98
CHEMBL2386765,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4)c3c2s1,353.38,6.06
CHEMBL2386766,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C#N)cc4)c3c2s1,360.4,3.89
CHEMBL2386767,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C(C)(C)C)cc4)c3c2s1,391.5,39.03
CHEMBL2386768,COC(=N)c1nc2ccc3ncnc(Nc4ccc(N(C)C)cc4)c3c2s1,378.46,35.64
CHEMBL2386769,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C(F)(F)F)cc4)c3c2s1,403.39,18.26
CHEMBL2386770,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,432.28,1.88
CHEMBL2392222,Fc1cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)ccc1Cl,357.77,14600
CHEMBL2392223,Fc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1F,341.32,23200
CHEMBL2392224,Fc1cc(F)cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,341.32,13000
CHEMBL2392225,Fc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1Cl,357.77,14600
CHEMBL2392226,Fc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1Br,402.22,6500
CHEMBL2392227,Fc1cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc(F)c1F,359.31,20700
CHEMBL2392228,Clc1ccc(CNc2ncncc2-c2ccc3c(c2)OCO3)cc1Cl,374.23,3787
CHEMBL2392229,Clc1ccc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)cc1,339.78,9230
CHEMBL2392230,Clc1ccc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)cc1Cl,374.23,13040
CHEMBL2392231,Clc1cc(Cl)cc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)c1,374.23,3280
CHEMBL2392232,Fc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,324.31,32800
CHEMBL2392233,Clc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,340.77,29200
CHEMBL2392234,Brc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,385.22,26000
CHEMBL2392235,Fc1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,324.31,23200
CHEMBL2392236,Clc1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,340.77,26000
CHEMBL2392237,Brc1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,385.22,26000
CHEMBL2392238,Cc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,320.35,29200
CHEMBL2392239,c1ccc2ncc(CNc3ccnc(-c4ccc5c(c4)OCO5)n3)cc2c1,356.39,29200
CHEMBL2392240,c1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)nc1,306.32,32800
CHEMBL2392241,c1cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)ccn1,306.32,26000
